DecisionToInclude,docLen,SentLen,SentAVG,TF,IDF
0,311,69,0.22,0.17,22.68
1,311,46,0.15,0.15,16.17
1,311,31,0.1,0.12,10.73
1,311,47,0.15,0.13,13.56
0,311,35,0.11,0.08,15.34
1,311,93,0.3,0.12,29.95
0,311,56,0.18,0.1,18.7
1,311,53,0.17,0.17,17.81
1,311,65,0.21,0.15,24.92
1,311,53,0.17,0.11,15
0,311,30,0.1,0.13,11.26
0,311,53,0.17,0.08,20.53
0,311,35,0.11,0.15,13.16
0,311,33,0.11,0.17,12.92
0,311,29,0.09,0.07,12.81
0,311,59,0.19,0.2,21.77
1,311,37,0.12,0.12,15.22
0,311,41,0.13,0.13,17.35
0,311,29,0.09,0.13,9.4
0,311,52,0.17,0.22,19.97
1,311,59,0.19,0.1,21.87
0,311,31,0.1,0.14,12.93
1,311,73,0.23,0.29,28.83
1,311,52,0.17,0.14,21.96
0,311,41,0.13,0.11,18.01
0,311,31,0.1,0.18,9.59
1,311,87,0.28,0.13,31.52
1,311,27,0.09,0.12,11.28
0,311,32,0.1,0.15,13.29
1,311,29,0.09,0.14,11.09
1,311,47,0.15,0.14,17.64
1,311,39,0.13,0.14,16.73
1,311,33,0.11,0.15,11.72
1,311,33,0.11,0.07,10.8
0,311,68,0.22,0.15,23.7
0,311,49,0.16,0.14,18.57
0,311,59,0.19,0.18,20.17
0,311,59,0.19,0.09,24.7
1,311,68,0.22,0.19,25.23
0,311,32,0.1,0.09,12.07
0,311,19,0.06,0.07,7.69
0,311,39,0.13,0.1,16.17
0,311,46,0.15,0.2,14.24
0,311,42,0.14,0.13,19.15
0,311,17,0.05,0.07,6.99
0,311,35,0.11,0.09,13.22
0,311,33,0.11,0.13,12.63
0,311,23,0.07,0.07,10.39
0,311,48,0.15,0.18,18.56
0,311,44,0.14,0.13,16.15
0,311,37,0.12,0.18,13.95
0,311,58,0.19,0.1,24.19
0,311,40,0.13,0.11,15.12
0,311,41,0.13,0.08,9.65
0,311,30,0.1,0.09,8.78
0,311,31,0.1,0.12,13.61
0,311,37,0.12,0.13,10.62
1,311,46,0.15,0.16,14.33
1,311,47,0.15,0.17,13.95
0,311,48,0.15,0.09,19.06
1,251,114,0.45,0.16,35.59
1,251,37,0.15,0.07,7.92
1,251,34,0.14,0.06,10.34
0,251,66,0.26,0.1,21.78
0,251,128,0.51,0.1,40.02
1,251,66,0.26,0.13,20.23
0,251,127,0.51,0.16,32.48
0,251,63,0.25,0.07,18.65
1,251,22,0.09,0.06,6.87
0,251,34,0.14,0.08,10
0,251,18,0.07,0.06,6.75
1,251,60,0.24,0.14,15
1,251,59,0.24,0.1,18.55
0,251,71,0.28,0.12,21.03
0,251,83,0.33,0.14,24.57
1,251,69,0.27,0.1,17.8
1,251,191,0.76,0.34,57.74
0,251,84,0.33,0.14,22.43
1,251,131,0.52,0.19,36.94
0,251,48,0.19,0.08,12.84
0,251,42,0.17,0.1,12.72
0,251,61,0.24,0.09,18.67
0,251,28,0.11,0.08,7.22
0,251,34,0.14,0.07,9.55
0,251,19,0.08,0.07,4.16
1,251,80,0.32,0.14,24.34
1,251,68,0.27,0.09,23.96
1,251,42,0.17,0.09,12.6
1,251,31,0.12,0.09,8.93
1,251,27,0.11,0.08,7.51
1,251,107,0.43,0.12,33.7
