DocID,SentID,DecisionToInclude,docLen,SentLen,SentAVG,TF,IDF,strSeg
1,1,0,311,69,0.22,0.17,22.68,﻿لودفيج فان بيتهوفن مؤلف موسيقي ألماني ولد عام 1770 م في مدينة بون  .
1,2,1,311,46,0.15,0.15,16.17,يعتبر من أبرز عباقرة الموسيقى في جميع العصور .
1,3,1,311,31,0.1,0.12,10.73,، وأبدع أعمالا موسيقية خالدة  .
1,4,1,311,47,0.15,0.13,13.56,له الفضل الأعظم في تطوير الموسيقى الكلاسيكية  .
1,5,0,311,35,0.11,0.08,15.34,قدم أول عمل موسيقي وعمره 8 سنوات  .
1,6,1,311,93,0.3,0.12,29.95,تشمل مؤلفاته للأوركسترا تسعة سيمفونيات وخمس مقطوعات موسيقية على البيانو ومقطوعة على الكمان  .
1,7,0,311,56,0.18,0.1,18.7,كما ألف العديد من المقطوعات الموسيقية كمقدمات للأوبرا  .
1,8,1,311,53,0.17,0.17,17.81,بدأ بيتهوفن يفقد سمعه في الثلاثينيات من عمره إلا أن .
1,9,1,311,65,0.21,0.15,24.92,ذلك لم يؤثر على إنتاجه الذي ازداد في تلك الفترة وتميز بالإبداع  .
1,10,1,311,53,0.17,0.11,15.0,من أجمل أعماله السمفونية الخامسة والسادسة والتاسعة  .
1,11,0,311,30,0.1,0.13,11.26,وقد توفي في فيينا عام 1827م  .
1,12,0,311,53,0.17,0.08,20.53,شهدت مدينة بون الألمانية ميلاد الفنان العبقري لودفج .
1,13,0,311,35,0.11,0.15,13.16,فان بيتهوفن في 16 ديسمبر عام 1770 .
1,14,0,311,33,0.11,0.17,12.92,، وتم تعميده في 17 ديسمبر 1770  .
1,15,0,311,29,0.09,0.07,12.81,ظهر تميزه الموسيقي منذ صغره .
1,16,0,311,59,0.19,0.2,21.77,، فنشرت أولى أعماله وهو في الثانية عشرمن عمره عام 1783 م  .
1,17,1,311,37,0.12,0.12,15.22,اتسعت شهرته كعازف بيانو في سن مبكرة .
1,18,0,311,41,0.13,0.13,17.35,، ثم زاد إنتاجه وذاع صيته كمؤلف موسيقى  .
1,19,0,311,29,0.09,0.13,9.4,عانى بيتهوفن كثيرا في حياته .
1,20,0,311,52,0.17,0.22,19.97,، عائليا وصحيا ، فبالرغم من أن أباه هو معلمه الأول .
1,21,1,311,59,0.19,0.1,21.87,الذي وجه اهتمامه للموسيقى ولقنه العزف على البيانو والكمان .
1,22,0,311,31,0.1,0.14,12.93,، إلا أنه لم يكن الأب المثالي .
1,23,1,311,73,0.23,0.29,28.83,، فقد كان مدمنا للكحول ، كما أن والدته توفيت وهو في السابعة عشر من عمره .
1,24,1,311,52,0.17,0.14,21.96,بعد صراع طويل مع المرض ، تاركة له مسؤولية العائلة  .
1,25,0,311,41,0.13,0.11,18.01,مما منعه من إتمام خطته والسفر إلى فيينا .
1,26,0,311,31,0.1,0.18,9.59,، عاصمة الموسيقى في ذلك العصر .
1,27,1,311,87,0.28,0.13,31.52,فهل كان التأليف الموسيقي هو نوع من أنواع العلاج والتغلب على المشاكل بالنسبة لبيتهوفن  .
1,28,1,311,27,0.09,0.12,11.28,في 1789 م تحقق حلمه أخيرا .
1,29,0,311,32,0.1,0.15,13.29,، فقد أرسله حاكم بون إلى فيينا .
1,30,1,311,29,0.09,0.14,11.09,، وهناك تتلمذ على يد هايدن  .
1,31,1,311,47,0.15,0.14,17.64,ولكن بيتهوفن ، صاحب الألحان واجه بعض الخلافات .
1,32,1,311,39,0.13,0.14,16.73,مع معلمه ، وعندما سافر هايدن إلى لندن .
1,33,1,311,33,0.11,0.15,11.72,، تحول بيتهوفن إلى معلمين آخرين .
1,34,1,311,33,0.11,0.07,10.8,مثل ساليري وشينك وألبريشتبيرجر  .
1,35,0,311,68,0.22,0.15,23.7,وقد أسهمت كل هذه الدروس والاحتكاكات في تكوين شخصية بيتهوفن الفنية  .
1,36,0,311,49,0.16,0.14,18.57,وحاول أن يشق لنفسه طريق كعازف في عاصمة الموسيقى .
1,37,0,311,59,0.19,0.18,20.17,، وسرعان ما لاقى مكانة كبرى خاصة في الأوساط الأرستقراطية  .
1,38,0,311,59,0.19,0.09,24.7,فقد حاز بإعجاب الأسرة الملكية وعومل كصديق أكثر منه مؤلفا  .
1,39,1,311,68,0.22,0.19,25.23,بالرغم من ذلك فقد عاش ومات فقيرا ، غناه هو أعماله الفنية المتميزة  .
